Ord No (sample number),Poros [% vol],k [W/m/K] (unsaturated),k [W/m/K] (saturated),Vp [m/s] (unsaturated),Vp [m/s] (saturated),Rock,Country,Area (region),Area (location),Stratigraphy (Chronostratigraphy)
1349,13.00,1.20,,3510,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1350,8.83,1.23,,2930,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1351,5.05,1.25,,3210,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1352,,2.54,,4260,,Rhyolite,Germany,Odenwald,Dossenheim,
1353,,2.57,,4340,,Rhyolite,Germany,Odenwald,Dossenheim,
1354,,2.57,,4350,,Rhyolite,Germany,Odenwald,Dossenheim,
1355,,2.62,,3690,,Rhyolite,Germany,Odenwald,Dossenheim,
1356,,2.64,,4350,,Rhyolite,Germany,Odenwald,Dossenheim,
1357,,2.65,,3760,,Rhyolite,Germany,Odenwald,Dossenheim,
1358,,2.65,,4770,,Rhyolite,Germany,Odenwald,Dossenheim,
1359,,2.66,,4130,,Rhyolite,Germany,Odenwald,Dossenheim,
1360,,2.72,,4480,,Rhyolite,Germany,Odenwald,Dossenheim,
1361,,2.74,,4600,,Rhyolite,Germany,Odenwald,Dossenheim,
1362,,2.78,,4830,,Rhyolite,Germany,Odenwald,Dossenheim,
1363,,2.79,,5070,,Rhyolite,Germany,Odenwald,Dossenheim,
1364,,2.81,,4350,,Rhyolite,Germany,Odenwald,Dossenheim,
1365,,2.89,,4390,,Rhyolite,Germany,Odenwald,Dossenheim,
1366,,3.08,,4540,,Rhyolite,Germany,Odenwald,Dossenheim,
1367,,3.09,,5020,,Rhyolite,Germany,Odenwald,Dossenheim,
1368,,3.21,,5800,,Rhyolite,Germany,Odenwald,Dossenheim,
1369,,3.24,,5900,,Rhyolite,Germany,Odenwald,Dossenheim,
1370,,3.28,,5200,,Rhyolite,Germany,Odenwald,Dossenheim,
1371,,2.59,,3670,,Rhyolite,Germany,Odenwald,Weinheim,
1372,,2.62,,3760,,Rhyolite,Germany,Odenwald,Weinheim,
1373,,2.63,,4030,,Rhyolite,Germany,Odenwald,Weinheim,
1374,,2.64,,4010,,Rhyolite,Germany,Odenwald,Weinheim,
1375,,2.68,,4150,,Rhyolite,Germany,Odenwald,Weinheim,
1376,,2.70,,4460,,Rhyolite,Germany,Odenwald,Weinheim,
1377,,2.73,,4530,,Rhyolite,Germany,Odenwald,Weinheim,
1378,,2.74,,4040,,Rhyolite,Germany,Odenwald,Weinheim,
1379,,2.74,,4190,,Rhyolite,Germany,Odenwald,Weinheim,
1380,,2.74,,3850,,Rhyolite,Germany,Odenwald,Weinheim,
1381,,2.75,,4090,,Rhyolite,Germany,Odenwald,Weinheim,
1382,,2.76,,4020,,Rhyolite,Germany,Odenwald,Weinheim,
1383,,2.78,,3800,,Rhyolite,Germany,Odenwald,Weinheim,
1384,,2.81,,4170,,Rhyolite,Germany,Odenwald,Weinheim,
1385,,2.82,,4190,,Rhyolite,Germany,Odenwald,Weinheim,
1386,,2.82,,4120,,Rhyolite,Germany,Odenwald,Weinheim,
1387,,2.83,,3990,,Rhyolite,Germany,Odenwald,Weinheim,
1388,,2.84,,3730,,Rhyolite,Germany,Odenwald,Weinheim,
1389,,2.84,,4030,,Rhyolite,Germany,Odenwald,Weinheim,
1390,,2.84,,3550,,Rhyolite,Germany,Odenwald,Weinheim,
1391,,2.85,,4420,,Rhyolite,Germany,Odenwald,Weinheim,
1392,,2.86,,3930,,Rhyolite,Germany,Odenwald,Weinheim,
1393,,2.86,,3450,,Rhyolite,Germany,Odenwald,Weinheim,
1394,,2.87,,4160,,Rhyolite,Germany,Odenwald,Weinheim,
1395,,2.87,,3950,,Rhyolite,Germany,Odenwald,Weinheim,
1396,,2.88,,3520,,Rhyolite,Germany,Odenwald,Weinheim,
1397,,2.89,,4530,,Rhyolite,Germany,Odenwald,Weinheim,
1398,,2.90,,3670,,Rhyolite,Germany,Odenwald,Weinheim,
1399,,2.90,,4080,,Rhyolite,Germany,Odenwald,Weinheim,
1400,,2.90,,4310,,Rhyolite,Germany,Odenwald,Weinheim,
1401,,2.90,,4100,,Rhyolite,Germany,Odenwald,Weinheim,
1402,,2.91,,3900,,Rhyolite,Germany,Odenwald,Weinheim,
1403,,2.92,,3610,,Rhyolite,Germany,Odenwald,Weinheim,
1404,,2.93,,3720,,Rhyolite,Germany,Odenwald,Weinheim,
1405,,2.93,,3960,,Rhyolite,Germany,Odenwald,Weinheim,
1406,,2.95,,4270,,Rhyolite,Germany,Odenwald,Weinheim,
1407,,2.95,,4180,,Rhyolite,Germany,Odenwald,Weinheim,
1408,,2.97,,4030,,Rhyolite,Germany,Odenwald,Weinheim,
1409,,2.97,,4270,,Rhyolite,Germany,Odenwald,Weinheim,
1410,,2.97,,3840,,Rhyolite,Germany,Odenwald,Weinheim,
1411,,2.99,,4270,,Rhyolite,Germany,Odenwald,Weinheim,
1412,,3.01,,4320,,Rhyolite,Germany,Odenwald,Weinheim,
1413,,3.01,,4260,,Rhyolite,Germany,Odenwald,Weinheim,
1414,,3.08,,4590,,Rhyolite,Germany,Odenwald,Weinheim,
1415,28.91,0.87,,1570,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1416,24.05,0.89,,1140,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1417,23.65,0.89,,1710,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1418,23.72,0.92,,1590,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1419,26.24,0.95,,1440,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1420,31.88,0.98,,2320,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1421,22.40,0.98,,1650,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1422,25.79,1.02,,1360,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1423,23.81,1.03,,1720,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1424,18.70,1.11,,2840,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1425,17.82,1.12,,2710,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1426,19.49,1.15,,2540,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1427,20.07,1.17,,2380,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1428,20.78,1.17,,1960,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1429,20.71,1.20,,2660,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
1430,22.10,1.21,,2670,,Rhyolite,New Zealand,Central Volcanic Zone,Rotorua,
